question,option_a,option_b,option_c,option_d,correct_answer
What are the official colors of Oregon State University?,Black and Gold,Green and Gold,Orange and Black,Blue and Orange,Orange and Black
What is the name of OSU's athletic mascot?,Benny the Beaver,Barry the Beaver,Chip the Beaver,Duke the Beaver,Benny the Beaver
In what city is Oregon State University's main campus located?,Eugene,Salem,Corvallis,Portland,Corvallis
What year was Oregon State University founded?,1858,1865,1868,1872,1868
What is the name of OSU's football stadium?,Autzen Stadium,Reser Stadium,PK Park,Gill Coliseum,Reser Stadium
Which college at OSU is home to the robotics and mechanical engineering programs?,College of Science,College of Business,College of Engineering,College of Education,College of Engineering
What river runs through the city of Corvallis where OSU is located?,Columbia River,Snake River,Willamette River,Calapooia River,Willamette River
What is OSU's College of Engineering ranked among the top programs for in the US?,Computer Science only,Undergraduate engineering programs,Business programs,Medical research,Undergraduate engineering programs
What is the nickname of OSU's College of Engineering?,The Power House,Beaver Engineering,The Engineering Engine,COE,Beaver Engineering
Which engineering discipline focuses on designing bridges and roads?,Electrical Engineering,Mechanical Engineering,Civil Engineering,Chemical Engineering,Civil Engineering
What does EECS stand for at OSU?,Electrical and Environmental Computer Science,Electrical Engineering and Computer Science,Engineering Education and Computer Systems,Electronics and Computer Systems,Electrical Engineering and Computer Science
Oregon State University is a Land Grant institution — what does that mean?,It owns the most land in Oregon,It was established under the Morrill Act to provide practical education,It grants land to graduating students,It was founded on Native land grants,It was established under the Morrill Act to provide practical education
Which famous tech company was co-founded by an OSU alumnus?,Apple,Amazon,Agility Robotics,Boeing,Agility Robotics
What is the name of OSU's main library?,Kerr Library,Kidder Library,Valley Library,Gill Library,Valley Library
Oregon is the __ most populous state in the United States?,25th,29th,33rd,37th,29th
What is Oregon's state bird?,Western Meadowlark,American Robin,Western Bluebird,Great Blue Heron,Western Meadowlark
What is Oregon's state animal?,Black Bear,Elk,Beaver,Cougar,Beaver
What does a mechanical engineer primarily work with?,Software and code,Electrical circuits,Machines and mechanical systems,Chemical reactions,Machines and mechanical systems
What is Oregon's capital city?,Portland,Eugene,Salem,Medford,Salem
What engineering field designs computer chips and processors?,Civil Engineering,Bioengineering,Electrical Engineering,Industrial Engineering,Electrical Engineering
What is the tallest mountain in Oregon?,Mount Jefferson,Crater Lake,Mount Hood,Mount McLoughlin,Mount Hood
Oregon is known as the __ State.,Beaver,Evergreen,Pacific,Sunset,Beaver
What large body of water borders Oregon to the west?,Pacific Ocean,Puget Sound,Columbia River,Crater Lake,Pacific Ocean
Which OSU department works on sustainable energy and environmental solutions?,Nuclear Engineering,Industrial Engineering,Chemical Biological and Environmental Engineering,Construction Engineering,Chemical Biological and Environmental Engineering
What does the acronym CAD stand for in engineering?,Computer Aided Drafting,Computer Aided Design,Computer Automated Design,Computerized Application Drawing,Computer Aided Design
Which engineering branch deals with the design of aircraft and spacecraft?,Marine Engineering,Aerospace Engineering,Mechanical Engineering,Civil Engineering,Aerospace Engineering
What famous dam on the Columbia River borders Oregon and Washington?,Bonneville Dam,Hoover Dam,Glen Canyon Dam,Shasta Dam,Bonneville Dam
What does a biomedical engineer typically work on?,Roads and bridges,Medical devices and healthcare technology,Computer networks,Chemical manufacturing,Medical devices and healthcare technology
What engineering principle states that matter cannot be created or destroyed?,Newton's Third Law,Conservation of Mass,Ohm's Law,Pascal's Principle,Conservation of Mass
Which Oregon city is the largest in the state?,Eugene,Portland,Salem,Medford,Portland
What is Crater Lake known for?,Being the largest lake in the US,Being the deepest lake in the US,Being the oldest lake in Oregon,Being the highest lake in Oregon,Being the deepest lake in the US
What does an environmental engineer primarily focus on?,Building skyscrapers,Designing computer systems,Protecting and improving the natural environment,Developing new medicines,Protecting and improving the natural environment
What is the unit of electrical resistance?,Ampere,Volt,Ohm,Watt,Ohm
Oregon's economy is significantly driven by which industry?,Oil and gas,Timber and technology,Mining and fishing,Agriculture only,Timber and technology
OSU is a member of which major athletic conference?,Big Ten,SEC,Pac-12,ACC,Pac-12
What does IEEE stand for?,International Engineering and Electronics Exchange,Institute of Electrical and Electronics Engineers,Integrated Electrical and Engineering Education,International Electrical Engineering Exchange,Institute of Electrical and Electronics Engineers
Which Oregon landmark is a dormant shield volcano with a caldera filled by a lake?,Mount Hood,Three Sisters,Crater Lake,Diamond Peak,Crater Lake
What does a structural engineer analyze?,Software architecture,The load-bearing capacity of buildings and structures,Electrical grid systems,Chemical compounds,The load-bearing capacity of buildings and structures
What is the process engineers use to repeatedly test and improve a design called?,The Scientific Method,Trial and Error,The Engineering Design Process,Prototyping Loop,The Engineering Design Process
OSU's College of Engineering offers graduate programs leading to which degrees?,Only Bachelor's degrees,Master's and PhD degrees,Associate degrees,Professional certificates only,Master's and PhD degrees
What natural disaster risk is Oregon particularly known for due to the Cascadia Subduction Zone?,Hurricanes,Tornadoes,Earthquakes and tsunamis,Volcanic eruptions only,Earthquakes and tsunamis
Which OSU engineering department focuses on manufacturing and system optimization?,Industrial and Manufacturing Engineering,Civil Engineering,Nuclear Engineering,Computer Science,Industrial and Manufacturing Engineering
