question,option_a,option_b,option_c,option_d,correct_answer
What is the capital of France?,Berlin,Madrid,Paris,Rome,Paris
What planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,Mars
Who was the first President of the United States?,Abraham Lincoln,Thomas Jefferson,George Washington,John Adams,George Washington
Which country has the largest population in the world?,India,United States,China,Russia,India
"Which movie features the quote, 'I'll be back'?",Predator,The Terminator,Die Hard,RoboCop,The Terminator
How many players are on a soccer team on the field?,9,10,11,12,11
Who wrote '1984'?,Aldous Huxley,George Orwell,Ray Bradbury,J.K. Rowling,George Orwell
What does 'CPU' stand for?,Central Processing Unit,Computer Personal Unit,Central Program Utility,Control Processing User,Central Processing Unit
Which band sang 'Bohemian Rhapsody'?,The Beatles,Queen,Pink Floyd,Led Zeppelin,Queen
What gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,Carbon Dioxide
How many continents are there on Earth?,5,6,7,8,7
What is the chemical symbol for gold?,Au,Ag,Fe,Cu,Au
Which ocean is the largest?,Atlantic,Indian,Arctic,Pacific,Pacific
Who painted the Mona Lisa?,Michelangelo,Leonardo da Vinci,Raphael,Donatello,Leonardo da Vinci
What is the speed of light (approx) in km/s?,150000,300000,450000,600000,300000
How many sides does a hexagon have?,4,5,6,8,6
What year did World War II end?,1943,1944,1945,1946,1945
Which element has the atomic number 1?,Helium,Hydrogen,Lithium,Carbon,Hydrogen
What is the longest river in the world?,Amazon,Nile,Yangtze,Mississippi,Nile
Who invented the telephone?,Thomas Edison,Nikola Tesla,Alexander Graham Bell,Benjamin Franklin,Alexander Graham Bell
What is the capital of Japan?,Beijing,Seoul,Bangkok,Tokyo,Tokyo
How many bones are in the adult human body?,196,206,216,226,206
Which planet is closest to the Sun?,Venus,Earth,Mercury,Mars,Mercury
What sport is played at Wimbledon?,Cricket,Golf,Tennis,Badminton,Tennis
Who wrote Romeo and Juliet?,Charles Dickens,William Shakespeare,Jane Austen,Mark Twain,William Shakespeare
What is the hardest natural substance on Earth?,Ruby,Diamond,Quartz,Sapphire,Diamond
Which country invented pizza?,France,Greece,Italy,Spain,Italy
How many strings does a standard guitar have?,4,5,6,7,6
What is the tallest mountain in the world?,K2,Kangchenjunga,Mount Everest,Lhotse,Mount Everest
Which animal is known as the King of the Jungle?,Tiger,Elephant,Lion,Cheetah,Lion
What currency does Japan use?,Yuan,Won,Baht,Yen,Yen
How many players are on a basketball team on the court?,4,5,6,7,5
Which planet has the most moons?,Jupiter,Saturn,Uranus,Neptune,Saturn
What is the most spoken language in the world?,Spanish,Mandarin Chinese,English,Hindi,Mandarin Chinese
Who was the first person to walk on the Moon?,Buzz Aldrin,Yuri Gagarin,Neil Armstrong,John Glenn,Neil Armstrong
What is the smallest country in the world?,Monaco,San Marino,Liechtenstein,Vatican City,Vatican City
In which country is the Great Wall located?,Japan,India,China,Mongolia,China
What does DNA stand for?,Deoxyribonucleic Acid,Dual Nitrogen Arrangement,Dynamic Nucleic Assembly,Dense Nucleotide Array,Deoxyribonucleic Acid
How many days are in a leap year?,364,365,366,367,366
Which gas makes up most of Earth's atmosphere?,Oxygen,Carbon Dioxide,Argon,Nitrogen,Nitrogen
